backend,dataset,n_samples,audio_total_s,transcribe_total_s,rtf,wer_pct,cer_pct,first_decode_latency_s,peak_rss_mb,output_script,notes
parakeet-tdt-0.6b-v3-onnx,sehajpath,50,403.32,7.23,0.0179,100.00,95.32,0.159,2496,latin,
parakeet-tdt-0.6b-v3-onnx,kirtan,50,409.64,7.27,0.0178,102.79,98.69,0.085,2571,latin,
