backend,dataset,n_samples,audio_total_s,transcribe_total_s,rtf,wer_pct,cer_pct,first_decode_latency_s,peak_rss_mb,output_script,notes
baseline-faster-whisper,sehajpath,50,403.32,231.92,0.5750,13.87,4.25,2.873,2244,gurmukhi,
baseline-faster-whisper,kirtan,50,409.64,124.97,0.3051,57.28,30.69,1.541,2301,gurmukhi,
