backend,dataset,n_samples,audio_total_s,transcribe_total_s,rtf,wer_pct,cer_pct,first_decode_latency_s,peak_rss_mb,output_script,notes
ai4bharat-indicconformer-pa,sehajpath,50,403.32,22.20,0.0550,45.15,13.40,0.506,2135,gurmukhi,
ai4bharat-indicconformer-pa,kirtan,50,409.64,22.07,0.0539,98.45,73.70,0.393,2569,gurmukhi,
