backend,dataset,n_samples,audio_total_s,transcribe_total_s,rtf,wer_pct,cer_pct,first_decode_latency_s,peak_rss_mb,output_script,notes
ai4bharat-indicconformer-pa,sehajpath,50,403.32,23.02,0.0571,158.76,125.24,0.489,2259,gurmukhi,
ai4bharat-indicconformer-pa,kirtan,50,409.64,22.48,0.0549,155.73,124.00,0.412,2673,gurmukhi,
